,race,gender,date,zip,income,type,interest,term,principal,approved,adj_bls_2,id
1196,white,female,2018-04-01,60614,84243,auto,6.784038262653485,60,13932,True,1.69,AP20184-2-58
1197,black,male,2016-01-01,60637,117249,home,3.4830898471147442,360,675539,False,0.34,AP20161-0-68
1198,black,female,2012-04-01,60626,26195,auto,5.612384511589352,84,31712,False,0.14,AP20124-0-7
1199,white,male,2013-10-01,60614,112369,home,5.239202847285471,240,799148,True,0.09,AP201310-0-76
1200,white,male,2017-06-01,60614,11155,personal,13.132019857573624,12,5228,False,1.04,AP20176-0-91
1201,hispanic/latino,male,2012-06-01,60614,64086,auto,4.12123361770394,72,11067,True,0.16,AP20126-0-99
1202,black,female,2015-05-01,60637,44160,auto,5.117470724740958,60,36563,False,0.12,AP20155-1-7
1203,white,female,2016-10-01,60611,18834,auto,4.1695199458738035,72,6264,False,0.4,AP201610-0-70
1204,black,female,2018-11-01,60615,99030,home,9.617154469407879,240,539752,True,2.2,AP201811-2-16
1205,black,male,2011-08-01,60615,99442,home,2.4135570162456297,300,575282,False,0.1,AP20118-0-49
1206,white,male,2017-06-01,60626,17240,personal,8.807093367678311,12,987,False,1.04,AP20176-3-64
1207,white,female,2014-03-01,60625,78600,auto,4.120992647767205,84,41246,True,0.08,AP20143-0-47
1208,hispanic/latino,female,2014-12-01,60623,48189,home,1.7013983729530735,360,371998,False,0.12,AP201412-2-81
1209,black,male,2014-04-01,60637,33800,personal,9.351908182706941,48,24351,True,0.09,AP20144-0-80
1210,hispanic/latino,female,2013-05-01,60623,7545,auto,5.3552554723098025,72,15891,False,0.11,AP20135-1-85
1211,black,male,2013-03-01,60623,61103,home,5.2772375204674615,180,516578,False,0.14,AP20133-3-54
1212,black,male,2013-05-01,60637,41462,home,1.2787761315156778,300,300305,False,0.11,AP20135-3-80
1213,black,female,2017-06-01,60615,69244,home,6.719642328857945,360,441021,True,1.04,AP20176-2-90
1214,black,male,2011-06-01,60623,29098,auto,6.251981507088397,72,21908,False,0.09,AP20116-3-34
1215,white,male,2016-01-01,60614,219370,home,2.6881016084659537,240,1677752,True,0.34,AP20161-2-7
1216,other,female,2013-11-01,60614,65931,home,5.414520114180928,360,453902,True,0.08,AP201311-2-17
1217,white,male,2018-02-01,60611,28384,auto,7.87463094558363,72,21369,True,1.42,AP20182-2-70
1218,black,female,2017-03-01,60637,2681,auto,5.775586063919544,72,14221,False,0.79,AP20173-3-55
1219,black,male,2018-06-01,60623,48793,auto,6.931508039786509,60,12341,False,1.82,AP20186-1-88
1220,black,male,2013-01-01,60637,60311,personal,3.2489230830669134,12,21289,False,0.14,AP20131-1-21
1221,black,female,2012-07-01,60637,17764,auto,6.039199106297241,72,9340,False,0.16,AP20127-0-49
1222,black,male,2017-10-01,60615,19583,personal,4.25330860440287,60,5825,False,1.15,AP201710-2-4
1223,white,male,2015-08-01,60614,165340,home,2.0714090515155266,240,690817,True,0.14,AP20158-0-12
1224,hispanic/latino,male,2015-01-01,60623,41938,auto,3.6764201311019016,84,23938,False,0.11,AP20151-2-40
1225,black,male,2013-08-01,60625,123859,personal,10.575890247510198,24,64853,True,0.08,AP20138-1-28
1226,black,female,2011-11-01,60625,24549,auto,4.224152032235486,60,27333,True,0.08,AP201111-1-88
1227,black,female,2013-11-01,60614,157356,home,5.821526073753953,240,910778,True,0.08,AP201311-1-91
1228,hispanic/latino,female,2012-09-01,60623,78585,auto,6.9056847048313195,84,37883,True,0.14,AP20129-0-5
1229,white,male,2017-07-01,60614,69657,home,3.39177611329112,180,482949,False,1.15,AP20177-3-29
1230,black,male,2017-01-01,60637,65912,home,2.607078930138444,300,511134,False,0.65,AP20171-1-62
1231,white,female,2016-02-01,60615,29131,personal,14.921275612146285,48,21947,True,0.38,AP20162-2-98
1232,white,male,2011-06-01,60615,94544,home,3.2552430064279303,240,705695,False,0.09,AP20116-1-60
1233,hispanic/latino,female,2016-01-01,60623,30382,auto,6.631029647553584,72,31706,False,0.34,AP20161-3-100
1234,black,female,2013-12-01,60637,45433,auto,5.451172091442738,84,33626,False,0.09,AP201312-3-70
1235,black,male,2011-11-01,60637,84997,personal,9.775888659942495,18,23799,True,0.08,AP201111-1-0
1236,white,male,2018-01-01,60614,76426,auto,5.753415952092547,72,15343,True,1.41,AP20181-0-86
1237,white,male,2016-06-01,60626,35931,auto,6.100445982216602,84,17546,False,0.38,AP20166-2-53
1238,white,male,2013-06-01,60625,26990,personal,7.990141238804437,12,7902,False,0.09,AP20136-1-86
1239,white,female,2017-04-01,60625,5427,personal,2.2270548278814952,12,1738,False,0.9,AP20174-1-26
1240,white,female,2017-01-01,60614,59961,personal,8.005208140953547,18,15491,False,0.65,AP20171-0-86
1241,white,male,2018-02-01,60611,8153,home,5.053184072288343,300,47302,False,1.42,AP20182-3-78
1242,white,female,2012-11-01,60614,32128,home,0.7794544186567641,360,288698,False,0.16,AP201211-1-19
1243,white,female,2011-03-01,60625,50502,home,3.4612897141984265,240,333293,True,0.14,AP20113-0-91
1244,other,male,2012-09-01,60623,90215,home,2.574679890131382,240,611803,False,0.14,AP20129-2-54
1245,white,female,2018-04-01,60611,41346,home,3.813815920607429,300,271499,True,1.69,AP20184-2-60
1246,black,male,2015-02-01,60637,80237,home,2.7424792233740005,240,695411,False,0.11,AP20152-1-4
1247,hispanic/latino,female,2011-01-01,60625,5064,personal,12.086040971770826,12,229,False,0.17,AP20111-0-94
1248,black,female,2017-07-01,60626,44531,auto,4.804146391281608,72,47595,False,1.15,AP20177-1-50
1249,hispanic/latino,female,2016-07-01,60623,51137,personal,3.14993107150771,24,17612,False,0.39,AP20167-1-50
1250,white,male,2017-04-01,60614,129093,home,2.3440030274163353,360,787928,True,0.9,AP20174-2-85
1251,white,male,2014-01-01,60614,175105,home,2.427671639359805,180,1147663,False,0.07,AP20141-0-29
1252,hispanic/latino,female,2011-04-01,60625,7917,personal,2.8167128000351274,12,1250,False,0.1,AP20114-1-96
1253,white,female,2011-03-01,60637,48745,personal,7.084217817882792,48,14586,True,0.14,AP20113-0-49
1254,white,female,2017-06-01,60614,75578,auto,6.952188009558016,72,13045,True,1.04,AP20176-3-29
1255,black,male,2017-09-01,60637,22250,home,6.305269469227843,360,183888,False,1.15,AP20179-2-29
1256,black,female,2011-03-01,60623,2110,auto,5.7107959252719525,72,15684,False,0.14,AP20113-0-77
1257,black,female,2017-02-01,60626,12001,personal,16.161790488083465,12,7041,False,0.66,AP20172-0-59
1258,black,male,2017-01-01,60637,38795,personal,11.671024843153061,48,6062,True,0.65,AP20171-3-23
1259,white,female,2017-05-01,60611,166491,home,3.019799864038884,360,838866,True,0.91,AP20175-1-13
1260,other,female,2014-10-01,60626,329,auto,4.075204257381798,60,15369,False,0.09,AP201410-1-46
1261,white,male,2018-07-01,60615,107395,auto,7.27742906757567,60,19518,False,1.91,AP20187-0-62
1262,other,male,2013-01-01,60623,7943,auto,4.674704483009924,72,15442,False,0.14,AP20131-0-26
1263,black,female,2017-03-01,60615,68609,home,2.157777327128175,300,488575,False,0.79,AP20173-0-74
1264,other,male,2017-12-01,60623,43870,auto,6.435796949311727,72,40413,False,1.3,AP201712-0-59
1265,white,male,2017-07-01,60614,149787,home,7.437478501497285,300,1086978,True,1.15,AP20177-0-11
1266,black,female,2015-08-01,60637,74575,home,1.9342213254904066,360,595223,False,0.14,AP20158-1-100
1267,black,female,2012-06-01,60637,55417,personal,11.184063990400784,48,5440,True,0.16,AP20126-0-47
1268,asian,male,2018-10-01,60626,21173,personal,12.658225461955102,24,2294,False,2.19,AP201810-2-34
1269,white,male,2017-08-01,60625,87050,home,2.844569034334243,360,675821,True,1.16,AP20178-1-84
1270,hispanic/latino,male,2016-06-01,60623,34864,auto,5.187993912084044,60,27891,False,0.38,AP20166-1-66
1271,black,female,2013-01-01,60615,56114,home,3.9088391415073014,360,397270,False,0.14,AP20131-1-40
1272,white,male,2012-05-01,60611,3824,personal,9.64035489681934,24,1568,False,0.16,AP20125-2-35
1273,white,male,2013-11-01,60611,183567,home,3.7293102652928978,360,1333603,True,0.08,AP201311-1-52
1274,white,female,2013-05-01,60626,12372,auto,3.667481768825096,60,9748,False,0.11,AP20135-2-83
1275,white,male,2015-01-01,60614,120695,home,2.1312616008311287,300,858646,True,0.11,AP20151-2-16
1276,other,female,2015-12-01,60637,19679,personal,11.795143993698433,12,931,False,0.24,AP201512-0-33
1277,black,female,2018-09-01,60614,129106,auto,7.588435905235183,84,51687,True,1.95,AP20189-3-87
1278,other,female,2014-04-01,60611,24602,personal,2.686344445367511,24,4148,False,0.09,AP20144-0-83
1279,hispanic/latino,female,2018-06-01,60625,64132,home,7.281884350834179,300,427810,True,1.82,AP20186-0-20
1280,black,male,2017-07-01,60615,21838,auto,5.730994536005678,72,37449,False,1.15,AP20177-2-56
1281,black,female,2011-10-01,60623,28997,personal,14.881479879605607,48,13126,True,0.07,AP201110-1-2
1282,black,male,2011-12-01,60623,51851,home,4.22309839399532,360,372193,False,0.07,AP201112-2-47
1283,hispanic/latino,female,2017-01-01,60623,22771,auto,7.2307911343265285,72,21426,False,0.65,AP20171-1-21
1284,hispanic/latino,male,2011-06-01,60623,20000,personal,4.584119796775498,12,1086,False,0.09,AP20116-2-32
1285,black,female,2015-10-01,60623,4381,auto,5.216565632756857,72,14266,False,0.12,AP201510-1-10
1286,black,female,2018-06-01,60626,6854,home,5.575889952036265,300,48199,False,1.82,AP20186-2-73
1287,asian,male,2017-10-01,60625,21720,auto,5.966048483367224,60,25858,True,1.15,AP201710-0-56
1288,other,female,2015-02-01,60611,56304,auto,4.550048472846167,72,5548,False,0.11,AP20152-0-12
1289,black,female,2017-06-01,60611,176423,home,5.460216869130478,180,1077010,False,1.04,AP20176-3-84
1290,white,male,2011-06-01,60614,97063,home,4.339127052920048,360,727634,True,0.09,AP20116-1-92
1291,black,male,2017-05-01,60623,40636,auto,6.191764690704928,72,39715,False,0.91,AP20175-3-85
1292,white,male,2016-05-01,60614,67386,auto,4.570387552619167,72,21158,True,0.37,AP20165-3-8
1293,other,male,2013-09-01,60614,201982,home,1.9464899703117853,360,1584463,True,0.08,AP20139-1-97
1294,black,female,2017-02-01,60637,46920,auto,6.365354913725357,60,26809,False,0.66,AP20172-0-81
1295,black,male,2011-07-01,60615,77891,home,2.462678428461111,300,594531,False,0.07,AP20117-1-58
1296,other,female,2016-02-01,60611,58093,home,3.678427735420555,180,415607,False,0.38,AP20162-0-9
1297,white,female,2018-11-01,60614,126532,home,4.570252498906401,180,976822,False,2.2,AP201811-2-51
1298,black,female,2016-02-01,60637,41827,auto,3.995485933726149,72,24013,False,0.38,AP20162-2-49
1299,black,male,2018-06-01,60623,9095,personal,19.85028507237775,18,1274,False,1.82,AP20186-3-3
1300,hispanic/latino,female,2012-04-01,60623,14827,auto,4.583626744475159,72,19644,False,0.14,AP20124-1-89
1301,white,female,2017-08-01,60614,122865,personal,17.15649274577409,24,38028,True,1.16,AP20178-1-1
1302,hispanic/latino,female,2018-10-01,60625,67073,auto,6.6139954162676915,72,64934,True,2.19,AP201810-0-33
1303,white,male,2015-07-01,60611,190519,auto,5.320771584930366,60,60271,True,0.13,AP20157-2-92
1304,black,male,2016-08-01,60637,50190,auto,5.476202706594931,84,12074,False,0.4,AP20168-0-9
1305,asian,female,2016-07-01,60614,164224,home,4.3093104921432435,240,1047759,True,0.39,AP20167-3-43
1306,white,male,2011-11-01,60614,95095,home,3.1861609879971318,300,614718,True,0.08,AP201111-0-93
1307,black,female,2017-03-01,60615,22847,auto,6.311015440342296,72,18125,False,0.79,AP20173-0-25
1308,hispanic/latino,female,2018-06-01,60623,2072,personal,5.273680080251544,12,192,False,1.82,AP20186-1-91
1309,black,male,2013-02-01,60623,17752,personal,13.727816153343541,18,10792,True,0.15,AP20132-3-54
1310,hispanic/latino,female,2014-10-01,60625,81004,home,4.499149487377523,300,570182,True,0.09,AP201410-3-89
1311,white,female,2015-08-01,60614,66504,home,4.176429788428807,360,506987,True,0.14,AP20158-3-80
1312,hispanic/latino,male,2011-09-01,60623,28592,home,3.5088883293313464,240,205613,False,0.08,AP20119-3-41
1313,black,male,2012-06-01,60623,67034,auto,5.882902948697177,72,27454,True,0.16,AP20126-2-58
1314,white,male,2018-04-01,60625,137829,home,4.429064701719087,360,756023,True,1.69,AP20184-1-76
1315,other,female,2017-11-01,60626,77258,home,2.678099663621917,180,387074,False,1.16,AP201711-0-53
1316,hispanic/latino,female,2013-11-01,60623,9380,personal,2.799554488811914,18,3909,False,0.08,AP201311-0-68
1317,other,male,2015-08-01,60626,68198,personal,16.299653177467064,48,7571,True,0.14,AP20158-2-98
1318,black,male,2015-11-01,60623,62940,home,6.391648644558929,240,416783,False,0.12,AP201511-0-36
1319,other,male,2015-08-01,60614,154340,home,3.459660424752433,180,1180934,False,0.14,AP20158-3-10
1320,other,female,2015-01-01,60611,90513,home,0.21483853461202973,240,609525,False,0.11,AP20151-1-39
1321,black,female,2017-02-01,60626,12189,personal,11.626152072582316,12,2344,False,0.66,AP20172-3-92
1322,hispanic/latino,male,2018-04-01,60625,735,personal,17.84107428836308,48,57,False,1.69,AP20184-3-30
1323,black,female,2012-10-01,60615,47421,auto,3.595092434271356,72,44341,False,0.16,AP201210-3-64
1324,hispanic/latino,male,2017-08-01,60623,38871,home,2.3060832902781048,360,198754,False,1.16,AP20178-0-45
1325,hispanic/latino,female,2018-07-01,60626,39783,auto,7.860594993305527,60,7549,False,1.91,AP20187-3-93
1326,black,male,2013-09-01,60637,38661,auto,4.697112079961781,84,29663,False,0.08,AP20139-1-44
1327,white,male,2013-07-01,60626,77981,home,2.0487919739899665,360,614368,False,0.09,AP20137-1-95
1328,white,female,2013-10-01,60614,43720,home,6.3972368455851045,240,299233,True,0.09,AP201310-0-41
1329,white,male,2018-09-01,60614,945,personal,17.091575937752253,48,113,False,1.95,AP20189-2-27
1330,black,male,2011-09-01,60615,32294,personal,6.226014016717175,48,2180,False,0.08,AP20119-3-53
1331,white,male,2017-04-01,60625,112113,home,4.048346009172787,360,1070015,True,0.9,AP20174-0-36
1332,other,female,2016-10-01,60614,87440,personal,20.700929685884102,12,10720,True,0.4,AP201610-0-38
1333,black,male,2018-03-01,60637,72216,auto,7.995629989585766,84,17285,True,1.51,AP20183-3-41
1334,hispanic/latino,female,2013-04-01,60614,120614,auto,5.383152325560441,84,87697,True,0.15,AP20134-2-54
1335,white,male,2017-10-01,60625,110729,auto,5.493072188614805,84,50065,True,1.15,AP201710-1-6
1336,white,male,2015-11-01,60614,199168,home,5.342348353970714,240,1630810,False,0.12,AP201511-1-7
1337,black,female,2012-01-01,60615,17142,personal,9.455802240330671,60,6815,True,0.08,AP20121-1-16
1338,hispanic/latino,male,2018-05-01,60614,120266,auto,6.0183889308202225,72,32805,True,1.7,AP20185-0-38
1339,white,female,2017-05-01,60614,111239,home,2.812298191774305,360,768596,True,0.91,AP20175-0-98
1340,black,male,2013-01-01,60615,41346,auto,5.645413833872051,84,2051,False,0.14,AP20131-3-83
1341,white,male,2018-02-01,60626,24704,personal,15.386629930567587,48,6989,True,1.42,AP20182-2-37
1342,black,male,2016-01-01,60637,834,personal,15.827716605094789,24,311,False,0.34,AP20161-0-14
1343,black,female,2017-04-01,60615,15937,auto,5.3925558756912855,60,17122,False,0.9,AP20174-0-5
1344,hispanic/latino,female,2013-09-01,60625,25222,personal,11.602834056090542,60,2455,False,0.08,AP20139-2-83
1345,black,female,2016-11-01,60637,40322,auto,6.19922532282464,84,10799,False,0.41,AP201611-1-3
1346,white,male,2014-05-01,60626,96817,home,1.2412546264267892,360,692239,False,0.09,AP20145-3-98
1347,other,male,2016-08-01,60614,116169,home,2.6306431310127345,300,840002,True,0.4,AP20168-3-92
1348,black,male,2018-04-01,60637,18269,personal,7.180213125648661,60,1146,False,1.69,AP20184-1-73
1349,white,female,2016-10-01,60614,35220,auto,4.459642517303989,60,39831,True,0.4,AP201610-3-41
1350,black,male,2016-03-01,60637,56220,home,7.255053088542714,360,345216,True,0.36,AP20163-0-74
1351,hispanic/latino,male,2017-10-01,60623,56883,home,2.5249277558073,240,329996,False,1.15,AP201710-0-17
1352,hispanic/latino,female,2014-04-01,60623,48622,auto,5.489628632295558,84,15090,False,0.09,AP20144-3-84
1353,black,male,2013-03-01,60637,3906,auto,5.085947459015386,84,13097,False,0.14,AP20133-0-92
1354,white,male,2015-04-01,60614,143700,auto,3.2552758366636994,60,53141,True,0.12,AP20154-2-62
1355,white,female,2015-11-01,60614,84266,home,1.9140082351626595,360,679767,True,0.12,AP201511-1-39
1356,hispanic/latino,female,2016-09-01,60625,60007,home,3.072920976778644,360,492288,True,0.4,AP20169-2-26
1357,black,female,2015-10-01,60623,18206,auto,5.6547597527770135,72,14324,False,0.12,AP201510-0-90
1358,black,male,2017-01-01,60637,134276,home,2.017887015819724,360,998168,False,0.65,AP20171-3-71
1359,hispanic/latino,female,2012-08-01,60625,6488,personal,3.8411988019840013,24,250,False,0.13,AP20128-0-56
1360,black,female,2016-07-01,60626,94352,home,3.329310352937549,240,659849,False,0.39,AP20167-1-18
1361,black,female,2016-10-01,60637,33176,auto,4.019322387557136,72,9204,False,0.4,AP201610-2-26
1362,asian,female,2012-01-01,60611,84372,home,2.3504131948249625,240,666347,False,0.08,AP20121-1-68
1363,black,female,2016-10-01,60626,9963,auto,4.273432672401352,84,9925,False,0.4,AP201610-1-52
1364,other,female,2012-08-01,60614,13494,auto,4.658451202569911,72,11959,True,0.13,AP20128-3-20
1365,black,male,2017-06-01,60623,7628,personal,8.757560418458581,48,6059,True,1.04,AP20176-0-63
1366,other,female,2016-10-01,60626,36325,auto,4.2547999782400145,60,12936,False,0.4,AP201610-3-96
1367,white,female,2014-01-01,60614,212934,home,1.314678450368106,360,1531567,True,0.07,AP20141-0-42
1368,other,male,2016-01-01,60637,17696,personal,9.370313148775363,12,1101,False,0.34,AP20161-0-76
1369,white,male,2015-03-01,60615,21288,personal,5.17608457897587,60,9175,True,0.11,AP20153-2-46
1370,hispanic/latino,female,2016-01-01,60626,35798,home,5.669282646619214,180,227883,False,0.34,AP20161-1-8
1371,black,male,2012-10-01,60626,51350,personal,2.4139803536539244,24,5635,False,0.16,AP201210-2-62
1372,white,female,2018-10-01,60614,7617,home,3.986795997421022,180,51410,False,2.19,AP201810-1-82
1373,black,female,2016-06-01,60626,42481,home,3.2640967748575944,300,350931,False,0.38,AP20166-3-97
1374,black,male,2015-10-01,60637,104564,personal,14.83124791735237,18,13008,True,0.12,AP201510-2-5
1375,white,female,2012-05-01,60614,85165,home,3.420211010994749,180,553677,False,0.16,AP20125-2-70
1376,white,male,2016-01-01,60625,53534,home,3.6953933297159653,360,356515,True,0.34,AP20161-2-15
1377,hispanic/latino,female,2014-07-01,60623,41184,auto,7.423962334352613,72,350,False,0.09,AP20147-2-34
1378,white,male,2015-11-01,60637,33056,home,7.105271693086077,180,251421,False,0.12,AP201511-0-96
1379,white,male,2015-03-01,60625,3436,auto,1.921789165597238,84,15887,False,0.11,AP20153-1-89
1380,white,female,2016-05-01,60611,160207,auto,5.87760473296743,72,50733,True,0.37,AP20165-3-74
1381,white,male,2018-08-01,60614,299059,personal,13.536968856395719,24,26839,True,1.91,AP20188-3-52
1382,other,male,2017-06-01,60611,244895,home,4.93450528131982,360,1544437,True,1.04,AP20176-3-7
1383,black,female,2018-07-01,60637,8179,auto,8.007588984021286,72,15620,False,1.91,AP20187-2-32
1384,white,female,2013-10-01,60626,29003,personal,9.838469181842749,24,4242,False,0.09,AP201310-3-79
1385,hispanic/latino,male,2018-02-01,60625,53998,auto,8.71972736271924,84,29540,True,1.42,AP20182-3-91
1386,black,female,2014-04-01,60615,65401,auto,5.8586647541076395,84,56957,False,0.09,AP20144-0-69
1387,black,male,2013-11-01,60623,16977,auto,7.632354077709499,72,24303,False,0.08,AP201311-0-54
1388,hispanic/latino,male,2011-06-01,60623,66370,personal,3.5150486420650813,18,7856,False,0.09,AP20116-0-73
1389,black,male,2017-06-01,60615,76839,auto,6.454967394161687,60,53306,False,1.04,AP20176-3-46
1390,white,male,2018-01-01,60625,104143,home,4.0448011376097215,360,524089,True,1.41,AP20181-0-87
1391,hispanic/latino,male,2016-01-01,60623,39945,auto,5.07845788330017,72,2510,False,0.34,AP20161-3-21
1392,other,female,2015-09-01,60614,74495,home,2.717902581392778,240,481422,True,0.14,AP20159-1-95
1393,hispanic/latino,female,2017-11-01,60626,49890,home,2.3713348250611936,240,368059,False,1.16,AP201711-1-64
1394,black,male,2017-11-01,60615,11462,personal,7.190258385314214,24,2197,False,1.16,AP201711-0-76
1395,hispanic/latino,male,2013-06-01,60623,50365,auto,4.460150382789232,72,17148,False,0.09,AP20136-0-69
1396,black,male,2016-03-01,60615,112949,home,2.683316189097261,300,698817,False,0.36,AP20163-3-15
1397,asian,female,2018-11-01,60625,14672,personal,10.676849379290157,12,2408,False,2.2,AP201811-3-40
1398,other,male,2013-09-01,60625,42025,auto,4.776943494368791,84,50088,True,0.08,AP20139-3-83
1399,black,female,2012-05-01,60615,87095,home,0.35396418568014487,300,633671,False,0.16,AP20125-3-2
1400,black,female,2017-12-01,60637,57713,personal,10.132547875635662,18,3932,False,1.3,AP201712-3-46
1401,white,male,2014-02-01,60626,109560,home,2.453346169613384,180,842652,False,0.07,AP20142-3-12
1402,white,male,2018-04-01,60625,111562,auto,7.227410364367245,72,63813,True,1.69,AP20184-2-35
1403,white,male,2017-10-01,60626,25219,auto,6.456633132319244,72,25741,False,1.15,AP201710-2-54
1404,black,female,2013-12-01,60626,23041,home,2.5642578928926465,360,167417,False,0.09,AP201312-0-60
1405,hispanic/latino,female,2011-04-01,60625,26946,auto,2.854048764282607,72,33666,True,0.1,AP20114-3-71
1406,black,female,2012-01-01,60637,3365,personal,9.387192984931042,48,236,False,0.08,AP20121-1-35
1407,black,male,2013-09-01,60637,64694,home,1.4304560705834428,360,382539,False,0.08,AP20139-2-44
1408,other,female,2018-07-01,60615,50362,auto,5.22489632616324,84,53651,False,1.91,AP20187-3-52
1409,other,male,2018-11-01,60623,12098,auto,6.61231055359497,84,13287,False,2.2,AP201811-3-80
1410,hispanic/latino,female,2014-10-01,60625,112041,home,3.555412989950348,360,677828,True,0.09,AP201410-3-37
1411,asian,female,2016-05-01,60625,77433,personal,13.270178126912251,24,55035,True,0.37,AP20165-1-65
1412,other,female,2015-02-01,60625,76303,auto,5.233957696131147,84,18614,True,0.11,AP20152-2-73
1413,hispanic/latino,female,2012-10-01,60614,128573,home,1.7720075171594187,300,1062060,True,0.16,AP201210-2-69
1414,black,female,2016-03-01,60611,73919,home,1.0715718602436457,180,489462,False,0.36,AP20163-2-82
1415,black,female,2015-10-01,60626,98306,auto,3.7008737139486763,72,640,False,0.12,AP201510-3-65
1416,other,male,2015-08-01,60615,12042,auto,4.580606516290798,72,9243,False,0.14,AP20158-1-76
1417,hispanic/latino,male,2018-07-01,60625,2296,personal,14.509384815949103,48,638,False,1.91,AP20187-1-12
1418,hispanic/latino,female,2016-09-01,60614,178371,home,2.958743882703669,240,1558299,False,0.4,AP20169-0-17
1419,hispanic/latino,female,2016-01-01,60626,64913,auto,3.4550270609358185,72,18011,False,0.34,AP20161-2-76
1420,hispanic/latino,male,2016-11-01,60626,8339,auto,4.207581578676579,60,13215,False,0.41,AP201611-2-67
1421,black,male,2017-11-01,60626,49590,auto,6.641767667351145,72,17026,False,1.16,AP201711-2-32
1422,black,male,2015-09-01,60623,46555,auto,3.9980915755006303,60,9115,False,0.14,AP20159-1-79
1423,black,male,2017-06-01,60623,8766,personal,11.698714776072208,48,1912,False,1.04,AP20176-0-48
1424,white,female,2016-09-01,60614,14724,auto,6.204424158493293,84,15707,True,0.4,AP20169-0-97
1425,white,female,2013-06-01,60615,27253,auto,5.50592667313971,72,30633,False,0.09,AP20136-2-55
1426,hispanic/latino,female,2017-12-01,60625,10285,personal,18.530045002225886,48,4421,True,1.3,AP201712-3-38
1427,hispanic/latino,male,2017-07-01,60625,41912,auto,6.221338415221743,72,12809,True,1.15,AP20177-2-28
1428,black,female,2015-07-01,60623,23227,home,1.482422658928928,360,194852,False,0.13,AP20157-3-51
1429,hispanic/latino,female,2018-10-01,60623,31066,personal,21.569686563159767,48,6003,True,2.19,AP201810-1-14
1430,other,male,2011-12-01,60626,43583,personal,11.284300353904893,48,5376,True,0.07,AP201112-0-54
1431,hispanic/latino,female,2011-09-01,60625,80996,home,2.2577993915461,180,505315,False,0.08,AP20119-1-70
1432,white,male,2018-11-01,60611,136411,home,4.664564913786658,180,952032,False,2.2,AP201811-3-71
1433,other,female,2018-12-01,60626,581,personal,5.727777772838481,48,36,False,2.27,AP201812-1-33
1434,white,male,2018-02-01,60626,82910,auto,5.656237509013874,60,1863,False,1.42,AP20182-3-93
1435,white,female,2017-05-01,60611,36308,auto,5.542963056967978,84,18931,True,0.91,AP20175-3-88
1436,hispanic/latino,male,2017-11-01,60623,43375,auto,6.113967248033899,60,16325,False,1.16,AP201711-2-88
1437,white,male,2018-11-01,60626,52682,home,5.468592833002875,300,483365,False,2.2,AP201811-2-81
1438,white,male,2013-07-01,60611,95602,auto,5.353857256296393,60,17702,True,0.09,AP20137-3-58
1439,white,female,2012-05-01,60625,51108,auto,3.001858882198514,84,18401,True,0.16,AP20125-1-18
1440,black,male,2018-02-01,60637,22779,home,1.9932036765828887,240,140095,False,1.42,AP20182-1-7
1441,white,male,2017-06-01,60614,146554,auto,5.50308378962869,72,70715,True,1.04,AP20176-3-1
1442,white,male,2013-06-01,60614,77217,personal,16.386732288887874,24,30904,True,0.09,AP20136-3-83
1443,hispanic/latino,male,2016-03-01,60623,41897,home,2.1313300462515428,240,328089,False,0.36,AP20163-1-1
1444,white,female,2016-03-01,60614,5817,personal,13.461599416795362,18,311,False,0.36,AP20163-1-91
1445,other,male,2012-07-01,60626,64437,auto,5.905657686759515,72,9621,False,0.16,AP20127-0-95
1446,black,female,2011-03-01,60637,11642,auto,5.180057215247386,60,20206,False,0.14,AP20113-2-22
1447,white,male,2012-11-01,60611,140541,home,5.273515940366953,360,1114416,True,0.16,AP201211-3-37
1448,asian,female,2017-09-01,60611,183487,home,1.593156547098082,240,1085216,True,1.15,AP20179-1-61
1449,hispanic/latino,male,2018-07-01,60623,79030,auto,7.354237637659763,72,12171,False,1.91,AP20187-3-71
1450,asian,female,2017-05-01,60615,57652,home,5.085119989220111,360,526470,True,0.91,AP20175-2-95
1451,hispanic/latino,female,2018-07-01,60623,40957,home,5.811526091340765,360,285850,False,1.91,AP20187-2-51
1452,white,female,2018-02-01,60614,59825,home,2.274685381143317,300,484598,True,1.42,AP20182-2-50
1453,black,female,2017-03-01,60615,24119,auto,6.074684837626199,84,16516,False,0.79,AP20173-2-86
1454,black,male,2017-03-01,60637,11695,personal,9.183430073331802,48,2556,False,0.79,AP20173-3-72
1455,hispanic/latino,female,2018-05-01,60623,1882,home,3.2848625915819287,300,12842,False,1.7,AP20185-0-59
1456,black,male,2012-11-01,60637,45283,personal,4.502062135279312,48,3123,False,0.16,AP201211-0-31
1457,white,male,2016-03-01,60614,161586,home,0.6080767008779541,240,930576,False,0.36,AP20163-0-94
1458,other,male,2016-05-01,60614,8390,personal,16.34838781644571,12,713,False,0.37,AP20165-2-43
1459,hispanic/latino,male,2017-05-01,60623,10724,personal,10.736593149111009,12,7827,False,0.91,AP20175-2-45
1460,white,male,2018-10-01,60625,18740,auto,6.981596129111738,84,26867,True,2.19,AP201810-0-24
1461,black,female,2016-10-01,60623,14346,personal,12.390537392766964,18,5479,False,0.4,AP201610-0-90
1462,white,female,2013-03-01,60637,25600,personal,2.6792817598824477,60,6017,False,0.14,AP20133-3-98
1463,white,male,2018-10-01,60637,35594,home,4.70323927830113,180,244277,False,2.19,AP201810-2-45
